"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.855820","192.168.137.216","54.75.73.159","TCP","66","60600  >  80 [FIN, ACK] Seq=1 Ack=1 Win=66 Len=0 TSval=3031900230 TSecr=4148043838"
"74","40.302074","192.168.137.216","192.168.137.1","DNS","74","Standard query 0x8f3f A www.google.com"
"76","40.321687","192.168.137.216","142.250.74.36","QUIC","1292","Initial, DCID=68dcde791c6a1bf2, PKN: 1, PING, PING, CRYPTO, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"77","40.323248","192.168.137.216","142.250.74.36","QUIC","120","0-RTT, DCID=68dcde791c6a1bf2"
"78","40.326488","192.168.137.216","142.250.74.36","QUIC","1288","0-RTT, DCID=68dcde791c6a1bf2"
"79","40.326488","192.168.137.216","142.250.74.36","QUIC","1292","0-RTT, DCID=68dcde791c6a1bf2"
"80","40.326488","192.168.137.216","142.250.74.36","QUIC","1292","0-RTT, DCID=68dcde791c6a1bf2"
"81","40.326488","192.168.137.216","142.250.74.36","QUIC","164","0-RTT, DCID=68dcde791c6a1bf2"
"82","40.326488","192.168.137.216","142.250.74.36","QUIC","107","0-RTT, DCID=68dcde791c6a1bf2"
"87","40.354869","192.168.137.216","142.250.74.36","QUIC","1292","Handshake, DCID=e8dcde791c6a1bf2"
"88","40.354869","192.168.137.216","142.250.74.36","QUIC","115","Handshake, DCID=e8dcde791c6a1bf2"
"89","40.355297","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"91","40.369698","192.168.137.216","142.250.74.36","QUIC","74","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"97","40.441012","192.168.137.216","142.250.74.36","QUIC","78","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"98","40.441897","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"99","40.442219","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"118","40.455686","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"119","40.455686","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"120","40.456681","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"129","40.459968","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"130","40.461219","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"131","40.461428","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"136","40.463299","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"139","40.463989","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"144","40.466970","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"145","40.467707","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"146","40.467707","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"149","40.468993","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"150","40.468993","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"153","40.469083","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"154","40.469795","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"165","40.475439","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"166","40.475439","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"167","40.475524","192.168.137.216","142.250.74.36","QUIC","78","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"169","40.475661","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"171","40.476714","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"173","40.478579","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"174","40.478918","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"175","40.479036","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"176","40.479746","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"177","40.480083","192.168.137.216","142.250.74.36","QUIC","73","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"178","40.482613","192.168.137.216","142.250.74.36","QUIC","74","Protected Payload (KP0), DCID=e8dcde791c6a1bf2"
"191","42.920870","192.168.137.216","142.250.74.36","TCP","78","45724  >  443 [ACK] Seq=1 Ack=74 Win=111 Len=0 TSval=2540174056 TSecr=264114002 SLE=1 SRE=74"
"192","42.920870","192.168.137.216","142.250.74.170","TCP","78","60936  >  443 [ACK] Seq=1 Ack=74 Win=75 Len=0 TSval=2760642084 TSecr=4217224061 SLE=1 SRE=74"
"193","42.921857","192.168.137.216","142.250.74.36","TCP","66","45724  >  443 [FIN, ACK] Seq=1 Ack=74 Win=111 Len=0 TSval=2540174057 TSecr=264114002"
"194","42.921857","192.168.137.216","142.250.74.170","TCP","66","60936  >  443 [FIN, ACK] Seq=1 Ack=74 Win=75 Len=0 TSval=2760642086 TSecr=4217224061"
"197","42.935582","192.168.137.216","142.250.74.36","TCP","66","45724  >  443 [ACK] Seq=2 Ack=75 Win=111 Len=0 TSval=2540174070 TSecr=264114149"
"198","42.935582","192.168.137.216","142.250.74.170","TCP","66","60936  >  443 [ACK] Seq=2 Ack=75 Win=75 Len=0 TSval=2760642099 TSecr=4217224121"
"211","45.640250","192.168.137.216","216.58.207.225","TCP","66","42704  >  443 [ACK] Seq=1 Ack=74 Win=90 Len=0 TSval=247754504 TSecr=420626662"
"213","45.647388","192.168.137.216","216.58.207.225","TCP","66","42700  >  443 [ACK] Seq=1 Ack=74 Win=90 Len=0 TSval=247754512 TSecr=2832867164"
"215","45.835181","192.168.137.216","142.250.74.67","TCP","66","57032  >  443 [ACK] Seq=1 Ack=74 Win=76 Len=0 TSval=1178326975 TSecr=3591601740"
"220","46.306785","192.168.137.216","142.250.74.34","TCP","66","54344  >  443 [ACK] Seq=1 Ack=74 Win=81 Len=0 TSval=3172804000 TSecr=1121401196"
"244","50.288303","192.168.137.216","142.250.74.130","TCP","66","34526  >  443 [ACK] Seq=1 Ack=74 Win=76 Len=0 TSval=1047599220 TSecr=3837537302"
"245","50.288303","192.168.137.216","142.250.74.130","TCP","78","[TCP Dup ACK 244#1] 34526  >  443 [ACK] Seq=1 Ack=74 Win=76 Len=0 TSval=1047599221 TSecr=3837537523 SLE=1 SRE=74"
"257","50.851765","192.168.137.216","216.58.207.225","TCP","66","42704  >  443 [ACK] Seq=1 Ack=130 Win=90 Len=0 TSval=247759716 TSecr=420631662"
"258","50.851765","192.168.137.216","216.58.207.225","TCP","66","42700  >  443 [ACK] Seq=1 Ack=130 Win=90 Len=0 TSval=247759717 TSecr=2832872163"
"259","50.851765","192.168.137.216","216.58.207.225","TCP","78","42704  >  443 [ACK] Seq=1 Ack=131 Win=90 Len=0 TSval=247759717 TSecr=420631691 SLE=130 SRE=131"
"260","50.852060","192.168.137.216","216.58.207.225","TCP","78","42700  >  443 [ACK] Seq=1 Ack=131 Win=90 Len=0 TSval=247759718 TSecr=2832872194 SLE=130 SRE=131"
"261","50.852060","192.168.137.216","142.250.74.67","TCP","66","57032  >  443 [ACK] Seq=1 Ack=130 Win=76 Len=0 TSval=1178331993 TSecr=3591606740"
"263","50.863016","192.168.137.216","142.250.74.67","TCP","78","57032  >  443 [ACK] Seq=1 Ack=131 Win=76 Len=0 TSval=1178332003 TSecr=3591606769 SLE=130 SRE=131"
"271","51.467754","192.168.137.216","142.250.74.34","TCP","66","54344  >  443 [ACK] Seq=1 Ack=130 Win=81 Len=0 TSval=3172809160 TSecr=1121406195"
"272","51.467754","192.168.137.216","142.250.74.34","TCP","78","54344  >  443 [ACK] Seq=1 Ack=131 Win=81 Len=0 TSval=3172809161 TSecr=1121406225 SLE=130 SRE=131"
"285","55.208305","192.168.137.216","142.250.74.130","TCP","66","34526  >  443 [ACK] Seq=1 Ack=130 Win=76 Len=0 TSval=1047604141 TSecr=3837542302"
"286","55.208305","192.168.137.216","142.250.74.130","TCP","78","34526  >  443 [ACK] Seq=1 Ack=131 Win=76 Len=0 TSval=1047604141 TSecr=3837542427 SLE=130 SRE=131"
"306","72.407492","192.168.137.216","162.159.135.233","TCP","54","55346  >  443 [RST] Seq=1 Win=0 Len=0"
"307","72.407492","192.168.137.216","162.159.135.233","TCP","54","55346  >  443 [RST] Seq=1 Win=0 Len=0"
"327","79.300181","192.168.137.216","162.159.136.232","TCP","54","56890  >  443 [RST] Seq=1 Win=0 Len=0"
"328","79.300181","192.168.137.216","162.159.136.232","TCP","54","56890  >  443 [RST] Seq=1 Win=0 Len=0"
"428","95.702928","192.168.137.216","162.159.128.235","TCP","54","46642  >  443 [RST] Seq=1 Win=0 Len=0"
"429","95.702928","192.168.137.216","162.159.128.235","TCP","54","46642  >  443 [RST] Seq=1 Win=0 Len=0"
"430","98.280450","192.168.137.216","104.22.25.87","TCP","66","40840  >  443 [RST, ACK] Seq=1 Ack=1 Win=77 Len=0 TSval=2546624985 TSecr=3194087794"
"431","98.280450","192.168.137.216","151.101.237.108","TCP","66","40460  >  443 [RST, ACK] Seq=1 Ack=1 Win=129 Len=0 TSval=846280500 TSecr=3573469690"
"432","98.280450","192.168.137.216","143.204.55.54","TCP","66","40306  >  443 [RST, ACK] Seq=1 Ack=1 Win=90 Len=0 TSval=527499549 TSecr=1804964650"
"433","98.280450","192.168.137.216","151.101.237.44","TCP","66","38464  >  443 [RST, ACK] Seq=1 Ack=1 Win=76 Len=0 TSval=3105797532 TSecr=3480432309"
"434","98.280450","192.168.137.216","151.101.237.108","TCP","66","59882  >  443 [RST, ACK] Seq=1 Ack=1 Win=149 Len=0 TSval=846280506 TSecr=948716506"
"435","98.280450","192.168.137.216","143.204.55.74","TCP","66","55156  >  443 [RST, ACK] Seq=1 Ack=1 Win=171 Len=0 TSval=4159232005 TSecr=2669494861"
"436","98.280450","192.168.137.216","23.38.200.189","TCP","66","33502  >  443 [RST, ACK] Seq=1 Ack=1 Win=133 Len=0 TSval=4252059865 TSecr=3682344314"
"437","98.280450","192.168.137.216","54.230.111.221","TCP","66","57718  >  443 [RST, ACK] Seq=1 Ack=1 Win=101 Len=0 TSval=3215202004 TSecr=2336015220"
"438","98.280450","192.168.137.216","151.101.238.114","TCP","66","60720  >  443 [RST, ACK] Seq=1 Ack=1 Win=79 Len=0 TSval=590079706 TSecr=3889170508"
"439","98.280450","192.168.137.216","35.186.194.101","TCP","66","42998  >  443 [RST, ACK] Seq=1 Ack=1 Win=84 Len=0 TSval=768842354 TSecr=2847262002"
"440","98.280450","192.168.137.216","104.17.217.204","TCP","66","52050  >  443 [RST, ACK] Seq=1 Ack=1 Win=80 Len=0 TSval=3752255438 TSecr=2322491276"
"441","98.280450","192.168.137.216","142.250.74.46","TCP","66","34762  >  443 [RST, ACK] Seq=1 Ack=1 Win=81 Len=0 TSval=2514305415 TSecr=3461328597"
"442","98.280450","192.168.137.216","151.101.237.108","TCP","66","59896  >  443 [RST, ACK] Seq=1 Ack=1 Win=228 Len=0 TSval=846280506 TSecr=1301694220"
"443","98.280450","192.168.137.216","142.250.74.174","TCP","66","49244  >  443 [RST, ACK] Seq=1 Ack=1 Win=129 Len=0 TSval=3619401037 TSecr=4065669518"
"444","98.280450","192.168.137.216","35.186.202.217","TCP","66","43860  >  443 [RST, ACK] Seq=1 Ack=1 Win=84 Len=0 TSval=1150773964 TSecr=760400718"
"445","98.280450","192.168.137.216","35.201.81.194","TCP","66","52284  >  443 [RST, ACK] Seq=1 Ack=1 Win=82 Len=0 TSval=1475788074 TSecr=661646622"
"446","98.280890","192.168.137.216","172.217.21.170","TCP","66","51358  >  443 [RST, ACK] Seq=1 Ack=1 Win=81 Len=0 TSval=326033301 TSecr=1630323626"
"447","98.280890","192.168.137.216","142.250.74.106","TCP","66","46422  >  443 [RST, ACK] Seq=1 Ack=1 Win=82 Len=0 TSval=1837022446 TSecr=3590181528"
"448","98.280890","192.168.137.216","142.250.74.166","TCP","66","46360  >  443 [RST, ACK] Seq=1 Ack=1 Win=148 Len=0 TSval=1311539878 TSecr=856343561"
"449","98.280890","192.168.137.216","143.204.55.71","TCP","66","43844  >  443 [RST, ACK] Seq=1 Ack=1 Win=87 Len=0 TSval=1778876119 TSecr=3665002942"
"450","98.280890","192.168.137.216","31.172.81.160","TCP","66","47532  >  443 [RST, ACK] Seq=1 Ack=1 Win=78 Len=0 TSval=1799367397 TSecr=3868439626"
"451","98.280890","192.168.137.216","104.88.2.221","TCP","66","38824  >  443 [RST, ACK] Seq=1 Ack=1 Win=82 Len=0 TSval=1711992541 TSecr=261682642"
"452","98.280890","192.168.137.216","143.204.55.93","TCP","66","33872  >  443 [RST, ACK] Seq=1 Ack=1 Win=92 Len=0 TSval=2077409509 TSecr=3793074646"
"453","98.280890","192.168.137.216","143.204.55.40","TCP","66","50284  >  443 [RST, ACK] Seq=1 Ack=1 Win=607 Len=0 TSval=2990587672 TSecr=3933821798"
"454","98.280890","192.168.137.216","143.204.42.41","TCP","66","38106  >  443 [RST, ACK] Seq=1 Ack=1 Win=84 Len=0 TSval=3470952204 TSecr=704286345"
"455","98.280890","192.168.137.216","142.250.74.98","TCP","66","53084  >  443 [RST, ACK] Seq=1 Ack=1 Win=79 Len=0 TSval=3383531387 TSecr=68854094"
"456","98.280890","192.168.137.216","151.101.237.108","TCP","66","40446  >  443 [RST, ACK] Seq=1 Ack=1 Win=149 Len=0 TSval=846280507 TSecr=603987859"
"457","98.280890","192.168.137.216","151.101.237.108","TCP","66","59894  >  443 [RST, ACK] Seq=1 Ack=1 Win=104 Len=0 TSval=846280507 TSecr=1811331540"
"458","98.280890","192.168.137.216","34.160.19.107","TCP","66","56416  >  443 [RST, ACK] Seq=1 Ack=1 Win=81 Len=0 TSval=1856529189 TSecr=4123197941"
"459","98.280890","192.168.137.216","143.204.55.46","TCP","66","46752  >  443 [RST, ACK] Seq=1 Ack=1 Win=196 Len=0 TSval=3815578476 TSecr=2914963650"
"460","98.280890","192.168.137.216","34.160.236.64","TCP","66","40698  >  443 [RST, ACK] Seq=1 Ack=1 Win=78 Len=0 TSval=1305253685 TSecr=1118269857"
"461","98.280890","192.168.137.216","173.194.220.154","TCP","66","46886  >  443 [RST, ACK] Seq=1 Ack=1 Win=79 Len=0 TSval=3339679656 TSecr=856037962"
"462","98.281185","192.168.137.216","172.67.72.66","TCP","66","37848  >  443 [RST, ACK] Seq=1 Ack=1 Win=124 Len=0 TSval=1821104609 TSecr=2587757627"
"463","98.281185","192.168.137.216","104.18.24.173","TCP","66","60612  >  443 [RST, ACK] Seq=1 Ack=1 Win=74 Len=0 TSval=120169749 TSecr=2163299006"
"464","98.281185","192.168.137.216","35.190.29.52","TCP","66","38140  >  443 [RST, ACK] Seq=1 Ack=1 Win=78 Len=0 TSval=1031717000 TSecr=3480020085"
"465","98.281185","192.168.137.216","35.208.249.213","TCP","66","55162  >  443 [RST, ACK] Seq=1 Ack=1 Win=77 Len=0 TSval=3814544158 TSecr=3704638810"
"466","98.281185","192.168.137.216","143.204.55.6","TCP","66","38678  >  443 [RST, ACK] Seq=1 Ack=1 Win=238 Len=0 TSval=4025431406 TSecr=969403298"
"467","98.281185","192.168.137.216","104.18.41.104","TCP","66","37754  >  443 [RST, ACK] Seq=1 Ack=1 Win=74 Len=0 TSval=1262464439 TSecr=4204949096"
"468","98.281185","192.168.137.216","104.16.125.175","TCP","66","50756  >  443 [RST, ACK] Seq=1 Ack=1 Win=97 Len=0 TSval=3242046777 TSecr=714893789"
"469","98.281185","192.168.137.216","143.204.55.93","TCP","66","33856  >  443 [RST, ACK] Seq=1 Ack=1 Win=171 Len=0 TSval=2077409510 TSecr=3366046488"
"470","98.281185","192.168.137.216","143.204.55.14","TCP","66","39770  >  443 [RST, ACK] Seq=1 Ack=1 Win=110 Len=0 TSval=3304391766 TSecr=204268621"
"471","98.281185","192.168.137.216","151.101.237.108","TCP","66","53758  >  443 [RST, ACK] Seq=1 Ack=1 Win=113 Len=0 TSval=846280508 TSecr=398063318"
"472","98.281185","192.168.137.216","143.204.55.37","TCP","66","49464  >  443 [RST, ACK] Seq=1 Ack=1 Win=84 Len=0 TSval=3033085661 TSecr=135073721"
"473","98.281185","192.168.137.216","142.250.74.168","TCP","66","42788  >  443 [RST, ACK] Seq=1 Ack=1 Win=409 Len=0 TSval=3953307006 TSecr=837313710"
"474","98.281185","192.168.137.216","143.204.55.71","TCP","66","56000  >  443 [RST, ACK] Seq=1 Ack=1 Win=69 Len=0 TSval=1778876121 TSecr=2684863829"
"475","98.281185","192.168.137.216","151.101.237.108","TCP","66","58930  >  443 [RST, ACK] Seq=1 Ack=1 Win=78 Len=0 TSval=846280509 TSecr=208137899"
"476","98.281185","192.168.137.216","172.67.71.156","TCP","66","53744  >  443 [RST, ACK] Seq=1 Ack=1 Win=81 Len=0 TSval=1784096120 TSecr=3127380049"
"477","98.281185","192.168.137.216","151.101.238.49","TCP","66","38804  >  443 [RST, ACK] Seq=1 Ack=1 Win=81 Len=0 TSval=3827596413 TSecr=2185063049"
"478","98.281359","192.168.137.216","151.101.237.63","TCP","66","39836  >  443 [RST, ACK] Seq=1 Ack=1 Win=79 Len=0 TSval=2086343033 TSecr=4069306510"
"479","98.281359","192.168.137.216","216.239.32.36","TCP","66","59338  >  443 [RST, ACK] Seq=1 Ack=1 Win=81 Len=0 TSval=1119627427 TSecr=1510365862"
"480","98.281359","192.168.137.216","172.66.41.9","TCP","66","48282  >  443 [RST, ACK] Seq=1 Ack=1 Win=76 Len=0 TSval=3108730893 TSecr=3190244021"
"481","98.281359","192.168.137.216","104.26.6.229","TCP","66","46176  >  443 [RST, ACK] Seq=1 Ack=1 Win=145 Len=0 TSval=1681516502 TSecr=2581829262"
"482","98.281359","192.168.137.216","104.19.129.76","TCP","66","56572  >  443 [RST, ACK] Seq=1 Ack=1 Win=74 Len=0 TSval=2299511760 TSecr=611570696"
"483","98.281359","192.168.137.216","18.203.49.164","TCP","66","37588  >  443 [RST, ACK] Seq=1 Ack=1 Win=84 Len=0 TSval=28084522 TSecr=3693315594"
"484","98.281359","192.168.137.216","35.186.224.47","TCP","66","45054  >  443 [RST, ACK] Seq=1 Ack=1 Win=78 Len=0 TSval=2777599795 TSecr=106192205"
"485","98.281359","192.168.137.216","162.159.136.232","TCP","66","51002  >  443 [RST, ACK] Seq=1 Ack=1 Win=266 Len=0 TSval=4018786 TSecr=1656153045"
"486","98.324686","192.168.137.216","64.233.162.188","TLSv1.2","160","Application Data"
"487","98.326539","192.168.137.216","31.13.72.34","TLSv1.2","103","Application Data"
"491","98.441712","192.168.137.216","31.13.72.34","TCP","66","56956  >  443 [ACK] Seq=38 Ack=27 Win=67 Len=0 TSval=4099598115 TSecr=2352007991"
"522","161.937167","192.168.137.216","162.159.133.232","TCP","54","51806  >  443 [RST] Seq=1 Win=0 Len=0"
"523","161.937167","192.168.137.216","162.159.133.232","TCP","54","51806  >  443 [RST] Seq=1 Win=0 Len=0"
"524","161.937373","192.168.137.216","162.159.133.232","TCP","54","51806  >  443 [RST] Seq=1 Win=0 Len=0"
"525","161.937373","192.168.137.216","162.159.134.232","TCP","54","49220  >  443 [RST] Seq=1 Win=0 Len=0"
"526","161.937556","192.168.137.216","162.159.134.232","TCP","54","49220  >  443 [RST] Seq=1 Win=0 Len=0"
"529","162.365530","192.168.137.216","162.159.133.232","TCP","54","57294  >  443 [RST] Seq=1 Win=0 Len=0"
"536","170.230744","192.168.137.216","162.159.135.233","TCP","54","42344  >  443 [RST] Seq=1 Win=0 Len=0"
"537","170.230744","192.168.137.216","162.159.135.233","TCP","54","42344  >  443 [RST] Seq=1 Win=0 Len=0"
"538","170.230966","192.168.137.216","162.159.135.233","TCP","54","42344  >  443 [RST] Seq=1 Win=0 Len=0"
"627","280.822684","192.168.137.216","35.186.224.25","TCP","54","38664  >  443 [RST] Seq=1 Win=0 Len=0"
"628","280.822684","192.168.137.216","35.186.224.25","TCP","54","38664  >  443 [RST] Seq=1 Win=0 Len=0"
